Date,Open,High,Low,Adj Close,Close,total_cases,Unemp_rate,new_cases,stringency_index,COB_price
2017-01-08,4900.850098,5029.113281,4884.52002,5018.959960666667,5018.959960666667,,4.7,0.0,,56.39714285714285
2017-01-15,5013.819824,5066.950195,4995.069824,5052.079834,5052.079834,,4.7,0.0,,55.207142857142856
2017-01-22,5044.19238275,5085.339844,5029.609863,5064.866861666667,5064.866861666667,,4.7,0.0,,55.08857142857143
2017-01-29,5055.970215,5172.430176,5035.490234,5142.240071666667,5142.240071666667,,4.7,0.0,,55.465714285714284
2017-02-05,5146.410156,5167.130045666667,5086.330078,5165.840006666666,5165.840006666666,,4.6,0.0,,56.23285714285714
2017-02-12,5154.180176,5253.036621333334,5148.060059,5246.776529666667,5246.776529666667,,4.6,0.0,,55.787142857142854
2017-02-19,5242.490234,5338.9401855,5238.689941,5337.725097500001,5337.725097500001,,4.6,0.0,,55.82285714285714
2017-02-26,5324.7999265,5358.529785,5304.009766,5346.136556333333,5346.136556333333,,4.6,0.0,,56.167142857142856
2017-03-05,5330.560059,5398.430176,5316.700195,5364.700032666667,5364.700032666667,,4.4,0.0,,55.824285714285715
2017-03-12,5352.609863,5395.813476666667,5336.080078,5391.67985,5391.67985,,4.4,0.0,,53.04571428571428
2017-03-19,5387.72998,5426.839844,5360.700195,5411.793294666667,5411.793294666667,,4.4,0.0,,51.565714285714286
2017-03-26,5406.02002,5439.580078,5325.993327,5370.84668,5370.84668,,4.4,0.0,,50.87571428571429
2017-04-02,5320.959961,5452.793294,5316.02002,5433.543456666667,5433.543456666667,,4.4,0.0,,52.32
2017-04-09,5440.200195,5479.859863,5400.080078,5420.576823,5420.576823,,4.4,0.0,,54.714285714285715
2017-04-16,5423.569824,5442.709961,5353.589844,5387.7976072500005,5387.7976072500005,,4.4,0.0,,55.833571428571425
2017-04-23,5369.209961,5492.649902333334,5367.589844,5486.036458333333,5486.036458333333,,4.4,0.0,,53.098571428571425
2017-04-30,5503.27002,5626.986653333333,5494.459961,5614.263183666666,5614.263183666666,,4.4,0.0,,51.705714285714286
2017-05-07,5602.439941,5654.743164,5600.310059,5654.743164,5654.743164,,4.4,0.0,,49.81285714285714
2017-05-14,5649.180176,5700.213216,5637.399902,5698.590006333334,5698.590006333334,,4.4,0.0,,50.36571428571428
